,title,runtime,release_year
0,Toy Story,81.0,1995
1,Jumanji,104.0,1995
2,Grumpier Old Men,101.0,1995
3,Waiting to Exhale,127.0,1995
4,Father of the Bride Part II,106.0,1995
5,Heat,170.0,1995
6,Sabrina,127.0,1995
7,Tom and Huck,97.0,1995
8,Sudden Death,106.0,1995
9,GoldenEye,130.0,1995
10,The American President,106.0,1995
11,Dracula: Dead and Loving It,88.0,1995
12,Balto,78.0,1995
13,Nixon,192.0,1995
14,Cutthroat Island,119.0,1995
15,Casino,178.0,1995
16,Sense and Sensibility,136.0,1995
17,Four Rooms,98.0,1995
18,Ace Ventura: When Nature Calls,90.0,1995
19,Money Train,103.0,1995
20,Get Shorty,105.0,1995
21,Copycat,124.0,1995
22,Assassins,132.0,1995
23,Powder,111.0,1995
24,Leaving Las Vegas,112.0,1995
25,Othello,123.0,1995
26,Now and Then,100.0,1995
27,Persuasion,104.0,1995
28,The City of Lost Children,108.0,1995
29,Shanghai Triad,108.0,1995
30,Dangerous Minds,99.0,1995
31,Twelve Monkeys,129.0,1995
32,Wings of Courage,50.0,1996
33,Babe,89.0,1995
34,Carrington,121.0,1995
35,Dead Man Walking,122.0,1995
36,Across the Sea of Time,51.0,1995
37,It Takes Two,101.0,1995
38,Clueless,97.0,1995
39,"Cry, the Beloved Country",106.0,1995
40,Richard III,104.0,1995
41,Dead Presidents,119.0,1995
42,Restoration,117.0,1995
43,Mortal Kombat,101.0,1995
44,To Die For,106.0,1995
45,How To Make An American Quilt,116.0,1995
46,Se7en,127.0,1995
47,Pocahontas,81.0,1995
48,When Night Is Falling,96.0,1995
49,The Usual Suspects,106.0,1995
50,Guardian Angel,93.0,1994
51,Mighty Aphrodite,95.0,1995
52,Lamerica,116.0,1994
53,The Big Green,100.0,1995
54,Georgia,115.0,1995
55,Kids of the Round Table,89.0,1997
56,Home for the Holidays,103.0,1995
57,The Postman,108.0,1994
58,The Confessional,100.0,1995
59,The Indian in the Cupboard,96.0,1995
60,Eye for an Eye,101.0,1996
61,Mr. Holland's Opus,137.0,1995
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,89.0,1996
63,Two If by Sea,96.0,1996
64,Bio-Dome,88.0,1996
65,Lawnmower Man 2: Beyond Cyberspace,92.0,1996
66,Two Bits,85.0,1995
67,French Twist,95.0,1995
68,Friday,91.0,1995
69,From Dusk Till Dawn,108.0,1996
70,Fair Game,91.0,1995
71,Kicking and Screaming,96.0,1995
72,Les Miserables,175.0,1995
73,Bed of Roses,87.0,1996
74,Big Bully,90.0,1996
75,Screamers,108.0,1995
76,Nico Icon,70.0,1995
77,The Crossing Guard,111.0,1995
78,The Juror,118.0,1996
79,The White Balloon,85.0,1995
80,Things to Do in Denver When You're Dead,116.0,1995
81,Antonia's Line,102.0,1995
82,Once Upon a Time... When We Were Colored,115.0,1996
83,Last Summer in the Hamptons,108.0,1995
84,Angels and Insects,118.0,1995
85,White Squall,129.0,1996
86,Dunston Checks In,88.0,1996
87,Black Sheep,87.0,1996
88,Nick of Time,90.0,1995
89,The Journey of August King,91.0,1995
90,Mary Reilly,104.0,1996
91,Vampire in Brooklyn,100.0,1995
92,Beautiful Girls,112.0,1996
