,production_companies,revenue
0,Pixar Animation Studios,373554033
1,"TriStar Pictures, Teitler Film, Interscope Communications",262797249
2,"Warner Bros., Lancaster Gate",0
3,Twentieth Century Fox Film Corporation,81452156
4,"Sandollar Productions, Touchstone Pictures",76578911
5,"Regency Enterprises, Forward Pass, Warner Bros.",187436818
6,"Paramount Pictures, Scott Rudin Productions, Mirage Enterprises, Sandollar Productions, Constellation Entertainment, Worldwide, Mont Blanc Entertainment GmbH",0
7,Walt Disney Pictures,0
8,"Universal Pictures, Imperial Entertainment, Signature Entertainment",64350171
9,"United Artists, Eon Productions",352194034
10,"Columbia Pictures, Castle Rock Entertainment",107879496
11,"Columbia Pictures, Castle Rock Entertainment, Enigma Pictures",0
12,"Universal Pictures, Amblin Entertainment, Amblimation",11348324
13,"Hollywood Pictures, Cinergi Pictures Entertainment",13681765
14,"Le Studio Canal+, Laurence Mark Productions, Metro-Goldwyn-Mayer (MGM), Carolco Pictures",10017322
15,"Universal Pictures, Légende Entreprises, Syalis DA, De Fina-Cappa",116112375
16,"Columbia Pictures Corporation, Mirage Enterprises",135000000
17,"Miramax Films, A Band Apart",4300000
18,"O Entertainment, Warner Bros., Morgan Creek Productions",212385533
19,Columbia Pictures,35431113
20,"Jersey Films, Metro-Goldwyn-Mayer (MGM)",115101622
21,"Regency Enterprises, New Regency Pictures",0
22,"Silver Pictures, Canal+, Warner Bros., Dino De Laurentiis Company, Donner/Shuler-Donner Productions, Evansgideon/Lazar",30303072
23,"Caravan Pictures, Hollywood Pictures",0
24,"United Artists, Intial Productions",49800000
25,"Columbia Pictures, Castle Rock Entertainment",0
26,New Line Cinema,27400000
27,BBC Films,0
