,belongs_to_collection,id,title,vote_average,vote_count
0,Toy Story Collection,862.0,Toy Story,7.7,5415.0
1,{},8844.0,Jumanji,6.9,2413.0
2,Grumpy Old Men Collection,15602.0,Grumpier Old Men,6.5,92.0
3,{},31357.0,Waiting to Exhale,6.1,34.0
4,Father of the Bride Collection,11862.0,Father of the Bride Part II,5.7,173.0
5,{},949.0,Heat,7.7,1886.0
6,{},11860.0,Sabrina,6.2,141.0
7,{},45325.0,Tom and Huck,5.4,45.0
8,{},9091.0,Sudden Death,5.5,174.0
9,James Bond Collection,710.0,GoldenEye,6.6,1194.0
10,{},9087.0,The American President,6.5,199.0
11,{},12110.0,Dracula: Dead and Loving It,5.7,210.0
12,Balto Collection,21032.0,Balto,7.1,423.0
13,{},10858.0,Nixon,7.1,72.0
14,{},1408.0,Cutthroat Island,5.7,137.0
15,{},524.0,Casino,7.8,1343.0
16,{},4584.0,Sense and Sensibility,7.2,364.0
17,{},5.0,Four Rooms,6.5,539.0
18,Ace Ventura Collection,9273.0,Ace Ventura: When Nature Calls,6.1,1128.0
19,{},11517.0,Money Train,5.4,224.0
20,Chili Palmer Collection,8012.0,Get Shorty,6.4,305.0
21,{},1710.0,Copycat,6.5,199.0
22,{},9691.0,Assassins,6.0,394.0
23,{},12665.0,Powder,6.3,143.0
24,{},451.0,Leaving Las Vegas,7.1,365.0
25,{},16420.0,Othello,7.0,33.0
26,{},9263.0,Now and Then,6.6,91.0
27,{},17015.0,Persuasion,7.4,36.0
28,{},902.0,The City of Lost Children,7.6,308.0
29,{},37557.0,Shanghai Triad,6.5,17.0
30,{},9909.0,Dangerous Minds,6.4,249.0
31,{},63.0,Twelve Monkeys,7.4,2470.0
32,{},78802.0,Wings of Courage,6.8,4.0
33,Babe Collection,9598.0,Babe,6.0,756.0
34,{},47018.0,Carrington,6.4,16.0
35,{},687.0,Dead Man Walking,7.3,350.0
36,{},139405.0,Across the Sea of Time,3.5,2.0
37,{},33689.0,It Takes Two,6.1,149.0
38,{},9603.0,Clueless,6.9,828.0
39,{},34615.0,"Cry, the Beloved Country",6.7,13.0
40,{},31174.0,Richard III,6.9,50.0
41,{},11443.0,Dead Presidents,6.6,80.0
42,{},35196.0,Restoration,6.3,30.0
43,Mortal Kombat Collection,9312.0,Mortal Kombat,5.4,452.0
44,{},577.0,To Die For,6.7,177.0
45,{},11861.0,How To Make An American Quilt,6.5,38.0
46,{},807.0,Se7en,8.1,5915.0
47,Pocahontas Collection,10530.0,Pocahontas,6.7,1509.0
48,{},8391.0,When Night Is Falling,5.9,10.0
49,{},629.0,The Usual Suspects,8.1,3334.0
50,{},117164.0,Guardian Angel,6.3,3.0
51,{},11448.0,Mighty Aphrodite,6.7,145.0
52,{},49133.0,Lamerica,7.7,11.0
53,{},26441.0,The Big Green,5.2,41.0
54,{},97406.0,Georgia,6.1,15.0
55,{},124057.0,Kids of the Round Table,3.0,1.0
56,{},9089.0,Home for the Holidays,6.3,39.0
57,{},11010.0,The Postman,7.6,181.0
58,{},99040.0,The Confessional,6.5,2.0
59,{},11359.0,The Indian in the Cupboard,5.9,136.0
60,{},17182.0,Eye for an Eye,5.8,65.0
61,{},2054.0,Mr. Holland's Opus,6.9,115.0
62,{},10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0
63,{},19760.0,Two If by Sea,4.5,14.0
64,{},9536.0,Bio-Dome,4.4,110.0
65,The Lawnmower Man Collection,11525.0,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0
66,{},40628.0,Two Bits,5.4,11.0
67,{},4482.0,French Twist,6.0,43.0
68,Friday Collection,10634.0,Friday,7.0,513.0
69,From Dusk Till Dawn Collection,755.0,From Dusk Till Dawn,6.9,1644.0
70,{},11859.0,Fair Game,4.1,54.0
71,{},28387.0,Kicking and Screaming,7.0,36.0
72,{},48750.0,Les Miserables,6.6,8.0
73,{},20927.0,Bed of Roses,5.1,27.0
74,{},36929.0,Big Bully,3.9,16.0
75,Screamers Collection,9102.0,Screamers,6.1,154.0
76,{},124626.0,Nico Icon,7.3,3.0
77,{},27526.0,The Crossing Guard,6.1,74.0
78,{},9623.0,The Juror,5.5,91.0
79,{},46785.0,The White Balloon,7.5,20.0
80,{},400.0,Things to Do in Denver When You're Dead,6.7,87.0
81,{},880.0,Antonia's Line,7.2,26.0
82,{},146599.0,Once Upon a Time... When We Were Colored,4.5,2.0
83,{},188588.0,Last Summer in the Hamptons,0.0,0.0
84,{},8447.0,Angels and Insects,6.3,17.0
85,{},10534.0,White Squall,6.3,86.0
86,{},17414.0,Dunston Checks In,5.1,59.0
87,{},13997.0,Black Sheep,6.0,124.0
88,{},2086.0,Nick of Time,6.1,190.0
89,{},61548.0,The Journey of August King,6.7,3.0
90,{},9095.0,Mary Reilly,5.7,77.0
91,{},12158.0,Vampire in Brooklyn,4.5,113.0
92,{},9283.0,Beautiful Girls,6.6,103.0
93,{},9208.0,Broken Arrow,5.7,459.0
94,{},40154.0,A Midwinter's Tale,7.5,6.0
95,{},406.0,La Haine,7.9,695.0
96,{},45549.0,Shopping,5.6,13.0
97,{},63076.0,Heidi Fleiss: Hollywood Madam,6.8,4.0
98,{},11062.0,City Hall,6.0,67.0
99,{},13685.0,Bottle Rocket,6.8,285.0
100,{},47475.0,Mr. Wrong,3.3,16.0
101,{},2045.0,Unforgettable,5.3,22.0
102,{},9614.0,Happy Gilmore,6.5,767.0
103,{},688.0,The Bridges of Madison County,7.3,397.0
104,{},11907.0,Nobody Loves Me,5.1,5.0
105,The Muppet Collection,10874.0,Muppet Treasure Island,6.5,93.0
106,{},89333.0,Catwalk,7.0,2.0
107,{},96357.0,Headless Body in Topless Bar,0.0,0.0
108,{},197.0,Braveheart,7.7,3404.0
109,{},103.0,Taxi Driver,8.1,2632.0
110,{},33542.0,Rumble in the Bronx,6.5,245.0
111,{},43566.0,Before and After,5.8,37.0
112,{},71754.0,Margaret's Museum,7.5,2.0
113,{},43612.0,Happiness Is in the Field,7.0,23.0
114,{},51352.0,Anne Frank Remembered,7.3,4.0
115,{},16934.0,The Young Poisoner's Handbook,6.9,19.0
116,{},10324.0,If Lucy Fell,5.4,11.0
117,{},78406.0,Steal Big Steal Little,5.1,7.0
118,{},55731.0,Race the Sun,5.2,21.0
119,{},32119.0,The Boys of St. Vincent,7.0,7.0
120,{},11066.0,Boomerang,5.4,139.0
121,{},11104.0,Chungking Express,7.9,249.0
122,{},37975.0,The Star Maker,6.8,29.0
123,{},2074.0,Flirting with Disaster,6.3,66.0
124,The Neverending Story Collection,27793.0,The Neverending Story III: Escape from Fantasia,4.4,105.0
125,{},44284.0,The Silences of the Palace,4.3,3.0
126,{},290157.0,Jupiter's Wife,0.0,0.0
127,{},110972.0,Pie in the Sky,7.0,2.0
128,{},32622.0,Angela,5.6,9.0
129,{},73067.0,Frankie Starlight,5.4,4.0
130,{},11863.0,Jade,5.1,45.0
131,{},55475.0,Nueba Yol,5.5,1.0
132,{},124636.0,Sonic Outlaws,0.0,0.0
133,{},9101.0,Down Periscope,5.6,110.0
134,{},123360.0,From the Journals of Jean Seberg,6.5,2.0
135,{},5757.0,Man of the Year,3.8,2.0
136,{},39428.0,The Neon Bible,7.2,5.0
137,{},124639.0,Target,0.0,0.0
138,{},9302.0,Up Close & Personal,5.9,51.0
139,{},11000.0,The Birdcage,6.7,303.0
140,{},249882.0,Virgin Mary,7.0,2.0
141,{},16388.0,The Brothers McMullen,6.3,23.0
142,Bad Boys Collection,9737.0,Bad Boys,6.5,1729.0
143,{},30765.0,The Amazing Panda Adventure,5.0,31.0
144,{},10474.0,The Basketball Diaries,7.2,472.0
145,{},22279.0,An Awfully Big Adventure,6.0,11.0
146,{},30157.0,Amateur,6.5,21.0
147,{},568.0,Apollo 13,7.3,1637.0
148,{},11780.0,Rob Roy,6.5,151.0
149,{},34996.0,The Addiction,6.4,46.0
150,Batman Collection,414.0,Batman Forever,5.2,1529.0
151,{},649.0,Belle de Jour,7.3,163.0
152,{},1873.0,Beyond Rangoon,6.4,21.0
153,Brooklyn Cigar Store Collection,5894.0,Blue in the Face,6.8,28.0
154,{},1775.0,Canadian Bacon,5.9,57.0
155,Casper Collection,8839.0,Casper,6.0,1045.0
156,{},20649.0,Clockers,6.8,69.0
157,{},10329.0,Congo,5.0,214.0
158,{},8963.0,Crimson Tide,7.0,508.0
159,{},26564.0,Crumb,7.6,71.0
160,Mexico Trilogy,8068.0,Desperado,6.8,898.0
161,{},8512.0,Devil in a Blue Dress,6.3,88.0
162,Die Hard Collection,1572.0,Die Hard: With a Vengeance,6.9,2094.0
163,Teenage Apocalypse Trilogy,13552.0,The Doom Generation,5.6,57.0
164,{},259209.0,Feast of July,0.0,0.0
165,{},6520.0,First Knight,5.9,319.0
166,Free Willy Collection,9073.0,Free Willy 2 - The Adventure Home,5.5,130.0
167,{},10428.0,Hackers,6.2,406.0
168,{},17447.0,Jeffrey,6.5,19.0
169,{},9886.0,Johnny Mnemonic,5.5,380.0
170,{},9482.0,Judge Dredd,5.4,643.0
171,{},19326.0,Jury Duty,4.0,34.0
172,{},9344.0,Kids,6.8,280.0
173,{},9071.0,Living in Oblivion,7.2,64.0
174,{},8973.0,Lord of Illusions,5.9,87.0
175,{},15730.0,Love & Human Remains,7.0,7.0
176,{},47608.0,Mad Love,5.5,27.0
177,{},2293.0,Mallrats,6.8,400.0
178,Power Rangers Collection,9070.0,Mighty Morphin Power Rangers: The Movie,5.2,153.0
179,{},68274.0,Moonlight and Valentino,5.6,10.0
180,{},48787.0,Mute Witness,6.4,36.0
181,{},34574.0,Nadja,5.9,12.0
182,Síť (kolekce),1642.0,The Net,5.6,359.0
183,{},11472.0,Nine Months,5.5,171.0
184,{},36196.0,Party Girl,5.8,14.0
185,The Prophecy Collection,11980.0,The Prophecy,6.4,139.0
186,{},58372.0,Reckless,10.0,1.0
187,{},32646.0,Safe,7.2,62.0
188,{},10533.0,The Scarlet Letter,5.5,111.0
189,{},56088.0,The Show,5.3,2.0
190,Showgirls Collection,10802.0,Showgirls,4.9,261.0
191,Brooklyn Cigar Store Collection,10149.0,Smoke,7.2,115.0
192,{},18402.0,Something to Talk About,5.7,60.0
193,Species Collection,9348.0,Species,5.5,457.0
194,{},139408.0,The Stars Fell on Henrietta,6.6,6.0
195,{},281.0,Strange Days,6.8,334.0
196,{},5967.0,The Umbrellas of Cherbourg,7.6,119.0
197,{},79593.0,The Tie That Binds,4.6,9.0
198,{},47939.0,Three Wishes,6.1,18.0
199,{},36834.0,Total Eclipse,6.5,112.0
200,{},9090.0,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0
201,Under Siege Collection,3512.0,Under Siege 2: Dark Territory,5.6,217.0
202,{},52856.0,Unstrung Heroes,6.4,9.0
203,{},77350.0,Unzipped,6.0,6.0
204,{},9560.0,A Walk in the Clouds,6.5,168.0
205,{},9804.0,Waterworld,5.9,1017.0
206,{},31611.0,White Man's Burden,5.1,25.0
207,{},65796.0,Wild Bill,5.9,27.0
208,{},49805.0,The Browning Version,6.0,11.0
209,{},26258.0,Bushwhacked,4.9,29.0
210,Burnt by the Sun Trilogy,50797.0,Burnt by the Sun,6.7,35.0
211,{},19155.0,Before the Rain,7.7,45.0
212,Before... Collection,76.0,Before Sunrise,7.7,984.0
213,{},11017.0,Billy Madison,6.2,464.0
214,{},37141.0,The Babysitter,4.7,27.0
215,{},9382.0,Boys on the Side,6.3,48.0
216,{},6715.0,The Cure,7.2,58.0
217,{},18256.0,Castle Freak,5.8,40.0
218,{},22625.0,Circle of Friends,6.5,30.0
219,Clerks Collection,2292.0,Clerks,7.4,769.0
220,{},1909.0,Don Juan DeMarco,6.3,184.0
221,{},8984.0,Disclosure,5.9,217.0
222,{},61813.0,Dream Man,2.5,1.0
223,{},4954.0,Drop Zone,5.1,91.0
224,{},62488.0,Destiny Turns on the Radio,5.3,9.0
225,{},10531.0,Death and the Maiden,7.1,92.0
226,{},11929.0,Dolores Claiborne,7.1,183.0
227,Dumb and Dumber Collection,8467.0,Dumb and Dumber,6.5,1894.0
228,{},10451.0,Eat Drink Man Woman,7.5,76.0
229,{},20156.0,Exotica,6.5,64.0
230,{},18395.0,Exit to Eden,4.3,28.0
231,{},522.0,Ed Wood,7.3,639.0
232,{},397.0,French Kiss,6.2,179.0
233,{},10525.0,Forget Paris,6.1,38.0
234,{},27985.0,Far from Home: The Adventures of Yellow Dog,5.6,27.0
235,A Goofy Movie Collection,15789.0,A Goofy Movie,6.7,404.0
236,{},27303.0,Hideaway,5.0,24.0
237,{},21183.0,Fluke,6.6,48.0
238,{},10954.0,Farinelli,5.9,20.0
239,{},47867.0,Gordy,3.0,4.0
240,{},43475.0,Gumby: The Movie,5.0,2.0
241,{},72031.0,The Glass Shield,5.4,9.0
242,{},14275.0,Hoop Dreams,7.7,91.0
243,{},1024.0,Heavenly Creatures,6.9,299.0
244,{},17207.0,Houseguest,6.0,17.0
245,{},13701.0,Immortal Beloved,6.9,90.0
246,{},14819.0,Heavyweights,6.0,97.0
247,{},32631.0,The Hunted,6.0,25.0
248,{},11777.0,I.Q.,5.9,112.0
249,The Vampire Chronicles,628.0,Interview with the Vampire,7.2,1558.0
250,{},87729.0,Jefferson in Paris,5.2,10.0
251,{},18713.0,The Jerky Boys,4.8,10.0
252,{},6280.0,Junior,4.7,381.0
253,{},9061.0,Just Cause,6.0,124.0
254,{},37108.0,A Kid in King Arthur's Court,4.3,40.0
255,{},6071.0,Kiss of Death,5.7,83.0
256,Star Wars Collection,11.0,Star Wars,8.1,6778.0
257,{},9587.0,Little Women,7.0,222.0
258,{},19101.0,A Little Princess,7.4,207.0
259,{},49980.0,Ladybird Ladybird,7.4,14.0
260,{},17961.0,L'Enfer,6.6,22.0
261,{},18183.0,Like Water for Chocolate,6.6,70.0
262,{},4476.0,Legends of the Fall,7.2,636.0
263,{},11008.0,Major Payne,6.1,164.0
264,{},47504.0,Little Odessa,6.4,31.0
265,{},32325.0,Mi Vida Loca,5.7,9.0
266,{},43742.0,Love Affair,4.3,11.0
267,{},28313.0,Losing Isaiah,6.4,28.0
268,{},11318.0,The Madness of King George,6.7,67.0
269,{},3036.0,Mary Shelley's Frankenstein,6.1,272.0
270,{},40490.0,Man of the House,5.1,40.0
271,{},24070.0,Mixed Nuts,5.2,37.0
272,{},8986.0,Milk Money,5.6,49.0
273,{},10510.0,Miracle on 34th Street,6.4,199.0
274,{},17402.0,Miami Rhapsody,5.6,7.0
275,{},38722.0,My Family,7.0,11.0
276,{},8438.0,Murder in the First,6.9,140.0
277,{},11593.0,Nobody's Fool,7.0,56.0
278,{},1945.0,Nell,6.1,128.0
279,{},39310.0,New Jersey Drive,6.9,7.0
280,{},109560.0,New York Cop,0.0,0.0
281,{},56428.0,Beyond Bedlam,4.0,4.0
282,Nemesis Collection,63105.0,Nemesis 2 - Nebula,4.6,10.0
283,{},131957.0,Nina Takes a Lover,7.4,4.0
284,{},241.0,Natural Born Killers,6.9,927.0
285,{},9058.0,Only You,6.4,92.0
286,Once were Warriors Collection,527.0,Once Were Warriors,7.6,106.0
287,Poison Ivy Collection,18220.0,Poison Ivy II: Lily,4.6,32.0
288,{},6950.0,Outbreak,6.4,522.0
289,{},101.0,Leon: The Professional,8.2,4293.0
290,{},63020.0,The Perez Family,6.6,9.0
291,{},2307.0,A Pyromaniac's Love Story,7.0,2.0
292,{},680.0,Pulp Fiction,8.3,8670.0
293,{},41478.0,Panther,6.4,6.0
294,{},25296.0,Pushing Hands,6.1,9.0
295,{},40156.0,Priest,6.4,32.0
296,{},11450.0,Quiz Show,7.1,262.0
297,{},30304.0,Picture Bride,7.4,5.0
298,{},10452.0,Queen Margot,7.0,67.0
299,{},12106.0,The Quick and the Dead,6.2,431.0
300,{},161495.0,Roommates,6.4,7.0
301,{},3586.0,Prêt-à-Porter,5.3,33.0
302,Three Colors Collection,110.0,Three Colors: Red,7.8,246.0
303,Three Colors Collection,108.0,Three Colors: Blue,7.7,311.0
304,Three Colors Collection,109.0,Three Colors: White,7.3,218.0
305,{},159185.0,"Red Firecracker, Green Firecracker",7.0,2.0
306,{},36357.0,Rent-a-Kid,5.1,15.0
307,{},92769.0,Relative Fear,4.7,3.0
308,{},28033.0,Stuart Saves His Family,5.0,6.0
309,Swan Princess Series,22586.0,The Swan Princess,6.5,251.0
310,{},14334.0,The Secret of Roan Inish,6.1,15.0
311,{},2636.0,The Specialist,5.5,317.0
312,{},2164.0,Stargate,6.8,942.0
313,The Santa Clause Collection,11395.0,The Santa Clause,6.3,501.0
314,{},278.0,The Shawshank Redemption,8.5,8358.0
315,{},9905.0,Shallow Grave,7.0,247.0
316,{},87078.0,Suture,6.0,7.0
317,{},12527.0,Strawberry and Chocolate,7.1,16.0
318,{},20306.0,Swimming with Sharks,6.7,104.0
319,{},36614.0,The Sum of Us,6.0,21.0
320,{},27993.0,Senior Trip,5.7,23.0
321,{},31439.0,To Live,7.7,62.0
322,{},9067.0,Tank Girl,5.5,140.0
323,Tales from the Crypt Collection,9059.0,Tales from the Crypt: Demon Knight,6.7,96.0
324,Star Trek: The Next Generation Collection,193.0,Star Trek: Generations,6.4,461.0
325,{},25066.0,Tales from the Hood,5.4,33.0
326,{},46797.0,Tom & Viv,5.8,8.0
327,{},12122.0,Village of the Damned,5.6,165.0
328,{},11381.0,Tommy Boy,6.8,321.0
329,{},32636.0,Vanya on 42nd Street,6.1,15.0
330,{},36141.0,The Underneath,5.6,15.0
331,{},95963.0,The Walking Dead,6.6,4.0
332,{},1587.0,What's Eating Gilbert Grape,7.5,943.0
333,{},9271.0,Virtuosity,5.4,163.0
334,{},2064.0,While You Were Sleeping,6.5,340.0
335,{},19855.0,The War,6.3,39.0
336,{},60855.0,Double Happiness,5.5,2.0
337,{},236.0,Muriel's Wedding,6.9,104.0
338,{},48287.0,The Baby-Sitters Club,5.3,23.0
339,Ace Ventura Collection,3049.0,Ace Ventura: Pet Detective,6.4,1684.0
340,{},2759.0,"The Adventures of Priscilla, Queen of the Desert",7.2,174.0
341,{},12635.0,Backbeat,6.2,37.0
342,{},10497.0,Bitter Moon,7.0,115.0
343,{},11382.0,Bullets Over Broadway,7.0,130.0
344,The Jack Ryan Collection,9331.0,Clear and Present Danger,6.4,390.0
345,{},10731.0,The Client,6.4,287.0
346,{},10464.0,"Corrina, Corrina",6.4,83.0
347,{},34152.0,Crooklyn,6.7,31.0
348,The Crow Collection,9495.0,The Crow,7.3,980.0
349,{},29973.0,Cobb,6.1,29.0
350,The Flintstones (Live-Action) Collection,888.0,The Flintstones,5.0,559.0
351,{},13.0,Forrest Gump,8.2,8147.0
352,{},712.0,Four Weddings and a Funeral,6.6,654.0
353,{},16295.0,Higher Learning,6.4,49.0
354,{},48992.0,I Like It Like That,6.3,4.0
355,{},10879.0,I Love Trouble,5.3,41.0
356,{},10660.0,It Could Happen to You,6.1,154.0
357,{},10714.0,The Jungle Book,5.9,107.0
358,{},41647.0,"The Wonderful, Horrible Life of Leni Riefenstahl",7.3,5.0
359,The Lion King Collection,8587.0,The Lion King,8.0,5520.0
360,{},1689.0,Little Buddha,6.0,76.0
361,A Nightmare on Elm Street Collection,11596.0,New Nightmare,6.4,297.0
362,The Mask Collection,854.0,The Mask,6.6,2550.0
363,{},9359.0,Maverick,6.6,490.0
364,{},23333.0,Mrs. Parker and the Vicious Circle,6.3,20.0
365,Naked Gun Collection,36593.0,The Naked Gun 33⅓: The Final Insult,6.4,535.0
366,{},12280.0,The Paper,6.1,40.0
367,{},2788.0,Reality Bites,6.5,180.0
368,{},10427.0,Red Rock West,6.4,71.0
369,Richie Rich Collection,11011.0,Ri¢hie Ri¢h,5.4,426.0
370,{},49803.0,Safe Passage,4.9,7.0
371,{},8987.0,The River Wild,6.1,214.0
372,Speed Collection,1637.0,Speed,6.8,1814.0
373,{},15128.0,Speechless,5.5,24.0
374,Timecop Collection,8831.0,Timecop,5.5,288.0
375,{},36955.0,True Lies,6.8,1138.0
376,{},10449.0,When a Man Loves a Woman,6.0,71.0
377,{},10395.0,Wolf,6.0,221.0
378,{},12160.0,Wyatt Earp,6.5,203.0
379,{},40480.0,Bad Company,4.9,12.0
380,{},52038.0,A Man of No Importance,6.5,2.0
381,{},29444.0,S.F.W.,6.1,22.0
382,{},26352.0,A Low Down Dirty Shame,6.0,31.0
383,{},39953.0,"Boys Life: Three Stories of Love, Lust, and Liberation",2.0,1.0
384,{},41580.0,Colonel Chabert,5.9,9.0
385,{},315.0,"Faster, Pussycat! Kill! Kill!",6.5,59.0
386,{},22067.0,Jason's Lyric,5.9,9.0
387,{},18242.0,The Secret Adventures of Tom Thumb,7.1,8.0
388,Street Fighter,11667.0,Street Fighter,4.1,330.0
389,{},32502.0,Coldblooded,6.7,13.0
390,{},267188.0,Desert Winds,0.0,0.0
391,{},28732.0,Fall Time,6.3,6.0
392,Fear Collection,75555.0,The Fear,3.4,7.0
393,{},42981.0,Frank and Ollie,7.5,4.0
394,{},278939.0,Girl in the Cadillac,10.0,1.0
395,{},291731.0,Homage,0.0,0.0
396,{},226229.0,Mirage,4.0,1.0
397,{},203119.0,Open Season,0.0,0.0
398,{},172923.0,Dos Crímenes,5.0,1.0
399,{},316098.0,Brother Minister: The Assassination of Malcolm X,4.0,1.0
400,Highlander Collection,8011.0,Highlander: The Final Dimension,4.5,110.0
401,{},171857.0,Federal Hill,5.0,2.0
402,{},2654.0,In the Mouth of Madness,7.1,307.0
403,{},18069.0,8 Seconds,7.2,22.0
404,{},19092.0,Above the Rim,6.7,40.0
405,Addams Family Collection,2758.0,Addams Family Values,6.5,537.0
406,{},38129.0,Martin Lawrence: You So Crazy,4.5,4.0
407,{},10436.0,The Age of Innocence,7.0,172.0
408,{},13595.0,Airheads,5.8,222.0
409,{},46094.0,The Air Up There,5.1,42.0
410,Stakeout Collection,9409.0,Another Stakeout,4.9,58.0
411,{},11853.0,Bad Girls,4.6,61.0
412,{},16771.0,Barcelona,6.6,20.0
413,{},46924.0,Being Human,5.0,15.0
414,{},11041.0,The Beverly Hillbillies,5.0,86.0
415,Beverly Hills Cop Collection,306.0,Beverly Hills Cop III,5.5,445.0
416,{},14522.0,Black Beauty,6.6,68.0
417,{},26203.0,Blink,6.3,45.0
418,{},178.0,Blown Away,6.0,126.0
419,{},19819.0,Blue Chips,5.7,41.0
420,{},57834.0,Blue Sky,6.1,28.0
421,{},4722.0,Body Snatchers,5.8,102.0
422,{},18215.0,Boxing Helena,4.5,59.0
423,{},1607.0,A Bronx Tale,7.4,447.0
424,{},26391.0,Cabin Boy,4.9,28.0
425,{},117553.0,Calendar Girl,3.7,10.0
426,{},6075.0,Carlito's Way,7.7,805.0
427,City Slickers Collection,11310.0,City Slickers II: The Legend of Curly's Gold,4.9,103.0
428,{},18658.0,Clean Slate,5.7,25.0
429,{},9350.0,Cliffhanger,6.1,600.0
430,{},9612.0,Coneheads,4.8,228.0
431,{},2124.0,Color of Night,5.4,117.0
432,{},26261.0,Cops & Robbersons,5.0,36.0
433,{},19176.0,The Cowboy Way,5.1,38.0
434,{},49299.0,Dangerous Game,5.4,9.0
435,{},11566.0,Dave,6.3,205.0
436,{},9571.0,Dazed and Confused,7.4,588.0
437,{},9739.0,Demolition Man,6.4,1018.0
438,The Endless Summer Collection,24257.0,The Endless Summer 2,7.1,12.0
439,{},34444.0,Even Cowgirls Get the Blues,4.2,29.0
440,{},26141.0,Fatal Instinct,5.4,37.0
441,{},10997.0,Farewell My Concubine,7.8,98.0
442,{},50463.0,The Favor,3.3,6.0
443,{},10443.0,Fearless,6.8,80.0
444,{},20239.0,Fear of a Black Hat,5.8,11.0
445,{},16297.0,With Honors,6.1,54.0
446,{},18551.0,Flesh and Bone,6.2,22.0
447,{},25440.0,Widows' Peak,4.3,3.0
448,{},9024.0,For Love or Money,5.7,77.0
449,{},37233.0,The Firm,6.6,513.0
450,Free Willy Collection,1634.0,Free Willy,6.0,429.0
451,{},13815.0,Fresh,7.6,56.0
452,The Fugitive / U.S. Marshals Collection,5503.0,The Fugitive,7.2,1240.0
453,{},35588.0,Geronimo: An American Legend,5.9,44.0
454,{},2087.0,The Getaway,5.4,81.0
455,{},41579.0,Getting Even with Dad,4.5,43.0
456,{},18620.0,Go Fish,3.9,5.0
457,{},41006.0,A Good Man in Africa,5.2,11.0
458,{},4916.0,Guilty as Sin,5.6,21.0
459,Hard Target Collection,2019.0,Hard Target,6.1,237.0
460,{},31642.0,Heaven & Earth,6.4,51.0
461,Hot Shots! Collection,9255.0,Hot Shots! Part Deux,6.2,463.0
462,{},26271.0,Live Nude Girls,4.7,12.0
463,{},10612.0,The Englishman Who Went Up a Hill But Came Down a Mountain,6.1,83.0
464,{},2259.0,The House of the Spirits,6.7,135.0
465,House Party Collection,16097.0,House Party 3,4.6,11.0
466,{},11934.0,The Hudsucker Proxy,7.1,280.0
467,{},106143.0,I'll Do Anything,5.7,18.0
468,{},12475.0,In the Army Now,4.7,54.0
469,{},9386.0,In the Line of Fire,6.8,392.0
470,{},7984.0,In the Name of the Father,7.6,363.0
471,{},59930.0,The Inkwell,3.9,5.0
472,{},15765.0,What's Love Got to Do with It,6.9,75.0
473,{},31643.0,Jimmy Hollywood,4.6,17.0
474,{},6.0,Judgment Night,6.4,79.0
475,Jurassic Park Collection,329.0,Jurassic Park,7.6,4956.0
476,{},10909.0,Kalifornia,6.5,209.0
477,{},507.0,Killing Zoe,6.1,111.0
478,{},34024.0,King of the Hill,6.4,33.0
479,{},29918.0,Lassie,6.1,54.0
480,{},9593.0,Last Action Hero,6.1,725.0
481,{},42580.0,Life With Mikey,5.1,24.0
482,{},22317.0,Lightning Jack,5.7,40.0
483,{},1413.0,M. Butterfly,6.6,35.0
484,{},12121.0,Made in America,5.3,86.0
485,{},2246.0,Malice,5.9,105.0
486,{},10502.0,The Man without a Face,6.2,125.0
487,{},10440.0,Manhattan Murder Mystery,7.1,169.0
488,{},9516.0,Menace II Society,7.2,179.0
489,{},2320.0,Executive Decision,5.8,261.0
490,{},5879.0,In the Realm of the Senses,6.5,112.0
491,{},83718.0,What Happened Was...,7.0,7.0
492,{},11971.0,Much Ado About Nothing,7.2,194.0
493,{},2625.0,Mr. Jones,5.9,35.0
494,{},31911.0,Mr. Wonderful,5.5,11.0
495,{},788.0,Mrs. Doubtfire,7.0,1638.0
496,{},21450.0,Naked,7.5,105.0
497,The Karate Kid Collection,11231.0,The Next Karate Kid,4.8,202.0
498,{},41588.0,The New Age,4.8,5.0
499,{},10447.0,No Escape,6.1,86.0
500,{},31586.0,North,4.8,67.0
501,{},9300.0,Orlando,6.7,53.0
502,{},9559.0,A Perfect World,7.2,376.0
