,crew,title,release_date,return,budget,revenue
0,John Lasseter,Toy Story,1995-10-30,12.4518011,30000000,373554033
1,Joe Johnston,Jumanji,1995-12-15,4.0430346,65000000,262797249
2,Howard Deutch,Grumpier Old Men,1995-12-22,0.0,0,0
3,Forest Whitaker,Waiting to Exhale,1995-12-22,5.09075975,16000000,81452156
4,Charles Shyer,Father of the Bride Part II,1995-02-10,inf,0,76578911
5,Michael Mann,Heat,1995-12-15,3.123946966666667,60000000,187436818
6,Sydney Pollack,Sabrina,1995-12-15,0.0,58000000,0
7,Peter Hewitt,Tom and Huck,1995-12-22,0.0,0,0
8,Peter Hyams,Sudden Death,1995-12-22,1.8385763142857143,35000000,64350171
9,Martin Campbell,GoldenEye,1995-11-16,6.072310931034483,58000000,352194034
10,Rob Reiner,The American President,1995-11-17,1.739991870967742,62000000,107879496
11,Mel Brooks,Dracula: Dead and Loving It,1995-12-22,0.0,0,0
12,Simon Wells,Balto,1995-12-22,inf,0,11348324
13,Oliver Stone,Nixon,1995-12-22,0.3109492045454545,44000000,13681765
14,Renny Harlin,Cutthroat Island,1995-12-22,0.1022175714285714,98000000,10017322
15,Martin Scorsese,Casino,1995-11-22,2.2329302884615383,52000000,116112375
16,Ang Lee,Sense and Sensibility,1995-12-13,8.181818181818182,16500000,135000000
17,Allison Anders,Four Rooms,1995-12-09,1.075,4000000,4300000
18,Steve Oedekerk,Ace Ventura: When Nature Calls,1995-11-10,7.079517766666667,30000000,212385533
19,Joseph Ruben,Money Train,1995-11-21,0.59051855,60000000,35431113
20,Barry Sonnenfeld,Get Shorty,1995-10-20,3.805012297520661,30250000,115101622
21,Jon Amiel,Copycat,1995-10-27,0.0,0,0
22,Richard Donner,Assassins,1995-10-06,0.60606144,50000000,30303072
23,Victor Salva,Powder,1995-10-27,0.0,0,0
24,Mike Figgis,Leaving Las Vegas,1995-10-27,13.833333333333334,3600000,49800000
25,Oliver Parker,Othello,1995-12-15,0.0,0,0
26,Lesli Linka Glatter,Now and Then,1995-10-20,2.283333333333333,12000000,27400000
27,Roger Michell,Persuasion,1995-09-27,0.0,0,0
28,Jean-Pierre Jeunet,The City of Lost Children,1995-05-16,0.0965895,18000000,1738611
29,Zhang Yimou,Shanghai Triad,1995-04-30,0.0,0,0
30,John N. Smith,Dangerous Minds,1995-08-11,inf,0,180000000
31,Terry Gilliam,Twelve Monkeys,1995-12-29,5.7233898305084745,29500000,168840000
32,Jean-Jacques Annaud,Wings of Courage,1996-09-18,0.0,0,0
33,Chris Noonan,Babe,1995-07-18,8.471163666666667,30000000,254134910
34,Christopher Hampton,Carrington,1995-11-08,0.0,0,0
35,Tim Robbins,Dead Man Walking,1995-12-29,3.5785122727272727,11000000,39363635
36,Stephen Low,Across the Sea of Time,1995-10-20,0.0,0,0
37,Andy Tennant,It Takes Two,1995-11-17,0.0,0,0
38,Amy Heckerling,Clueless,1995-07-19,0.0,12000000,0
39,Darrell James Roodt,"Cry, the Beloved Country",1995-12-15,inf,0,676525
40,Richard Loncraine,Richard III,1995-12-29,0.0,0,0
41,Albert Hughes,Dead Presidents,1995-10-06,0.0,10000000,0
42,Michael Hoffman,Restoration,1995-12-29,0.0,19000000,0
43,Paul W.S. Anderson,Mortal Kombat,1995-08-18,6.788662222222222,18000000,122195920
44,Gus Van Sant,To Die For,1995-05-20,1.0642257,20000000,21284514
45,Jocelyn Moorhouse,How To Make An American Quilt,1995-10-06,2.357413,10000000,23574130
46,David Fincher,Se7en,1995-09-22,9.91854118181818,33000000,327311859
47,Mike Gabriel,Pocahontas,1995-06-14,6.292359509090909,55000000,346079773
48,Patricia Rozema,When Night Is Falling,1995-05-05,0.0,0,0
49,Bryan Singer,The Usual Suspects,1995-07-19,3.890261333333333,6000000,23341568
50,Richard W. Munchkin,Guardian Angel,1994-11-22,0.0,0,0
51,Woody Allen,Mighty Aphrodite,1995-09-13,0.4466666666666666,15000000,6700000
52,Gianni Amelio,Lamerica,1994-01-01,0.0,0,0
53,Holly Goldberg Sloan,The Big Green,1995-09-29,0.0,0,0
54,Ulu Grosbard,Georgia,1995-05-19,0.0,0,0
55,Robert Tinnell,Kids of the Round Table,1997-07-08,0.0,0,0
56,Jodie Foster,Home for the Holidays,1995-11-02,inf,0,17519169
57,Michael Radford,The Postman,1994-09-22,0.0,0,0
58,Robert Lepage,The Confessional,1995-09-29,0.0,0,0
59,Frank Oz,The Indian in the Cupboard,1995-07-14,0.0,45000000,0
60,John Schlesinger,Eye for an Eye,1996-01-12,0.0,20000000,0
