,belongs_to_collection,revenue
0,Toy Story Collection,373554033
1,{},262797249
2,Grumpy Old Men Collection,0
3,{},81452156
4,Father of the Bride Collection,76578911
5,{},187436818
6,{},0
7,{},0
8,{},64350171
9,James Bond Collection,352194034
10,{},107879496
11,{},0
12,Balto Collection,11348324
13,{},13681765
14,{},10017322
15,{},116112375
16,{},135000000
17,{},4300000
18,Ace Ventura Collection,212385533
19,{},35431113
20,Chili Palmer Collection,115101622
21,{},0
22,{},30303072
23,{},0
24,{},49800000
25,{},0
26,{},27400000
27,{},0
28,{},1738611
29,{},0
30,{},180000000
31,{},168840000
32,{},0
33,Babe Collection,254134910
34,{},0
35,{},39363635
36,{},0
37,{},0
38,{},0
39,{},676525
40,{},0
41,{},0
42,{},0
43,Mortal Kombat Collection,122195920
44,{},21284514
45,{},23574130
46,{},327311859
47,Pocahontas Collection,346079773
48,{},0
49,{},23341568
50,{},0
51,{},6700000
52,{},0
53,{},0
54,{},0
55,{},0
56,{},17519169
57,{},0
58,{},0
59,{},0
60,{},0
61,{},106269971
62,{},0
63,{},0
64,{},0
65,The Lawnmower Man Collection,2409225
66,{},0
67,{},0
68,Friday Collection,28215918
69,From Dusk Till Dawn Collection,25836616
70,{},11534477
71,{},718490
72,{},0
73,{},19030691
74,{},2042530
75,Screamers Collection,5781885
76,{},0
77,{},0
78,{},0
79,{},0
80,{},529766
81,{},0
82,{},0
83,{},0
84,{},0
85,{},10300000
86,{},0
87,{},32
88,{},8175346
89,{},0
90,{},12379402
91,{},19800000
92,{},0
93,{},150270147
94,{},0
95,{},0
96,{},0
97,{},0
98,{},0
99,{},560069
100,{},0
101,{},0
102,{},41205099
103,{},182016617
104,{},0
105,The Muppet Collection,34327391
106,{},0
107,{},0
108,{},210000000
109,{},28262574
110,{},32392047
111,{},0
112,{},0
113,{},0
114,{},1
115,{},0
116,{},0
117,{},6278139
118,{},0
119,{},0
120,{},70100000
121,{},0
122,{},0
123,{},14702438
124,The Neverending Story Collection,0
125,{},0
126,{},0
127,{},0
128,{},0
129,{},0
130,{},9851610
131,{},0
132,{},0
133,{},0
134,{},0
135,{},209935
136,{},0
137,{},0
138,{},0
139,{},185260553
140,{},0
141,{},0
142,Bad Boys Collection,141407024
143,{},0
144,{},0
145,{},851545
146,{},0
147,{},355237933
148,{},31596911
149,{},0
150,Batman Collection,336529144
151,{},0
152,{},0
153,Brooklyn Cigar Store Collection,1275000
154,{},178104
155,Casper Collection,287928194
156,{},13071518
157,{},152022101
158,{},157387195
159,{},3174695
160,Mexico Trilogy,25405445
161,{},16140822
162,Die Hard Collection,366101666
163,Teenage Apocalypse Trilogy,0
164,{},0
165,{},127600435
166,Free Willy Collection,0
167,{},7563728
168,{},0
169,{},19075720
170,{},113493481
171,{},17014653
172,{},7412216
173,{},1148752
174,{},0
175,{},0
176,{},15453274
177,{},2122561
178,Power Rangers Collection,66000000
179,{},0
180,{},1
181,{},0
182,Síť (kolekce),110627965
183,{},69660733
184,{},472370
185,The Prophecy Collection,16
186,{},0
187,{},0
188,{},10382407
189,{},0
